i,c,system,stage,value
Hubei,soybean,single,harvesting,304
Hubei,wheat,winter,sowing,304
Hubei,wheat,winter,growing,151
Hubei,wheat,winter,harvesting,181
Hunan,maize,spring,sowing,120
Hunan,maize,spring,growing,212
Hunan,maize,spring,harvesting,243
Hunan,rice,single,sowing,120
Hunan,rice,single,growing,273
Hunan,rice,single,harvesting,304
Hunan,rice,early_double,sowing,120
Hunan,rice,early_double,growing,151
Hunan,rice,early_double,harvesting,181
Hunan,rice,late_double,sowing,181
Hunan,rice,late_double,growing,273
Hunan,rice,late_double,harvesting,334
Hunan,soybean,single,sowing,151
Hunan,soybean,single,growing,243
Hunan,soybean,single,harvesting,304
Hunan,wheat,winter,sowing,304
Hunan,wheat,winter,growing,151
Hunan,wheat,winter,harvesting,181
Inner_Mongolia,maize,spring,sowing,120
Inner_Mongolia,maize,spring,growing,212
Inner_Mongolia,maize,spring,harvesting,243
Inner_Mongolia,rice,single,sowing,120
Inner_Mongolia,rice,single,growing,273
Inner_Mongolia,rice,single,harvesting,304
Inner_Mongolia,soybean,single,sowing,151
Inner_Mongolia,soybean,single,growing,243
Inner_Mongolia,soybean,single,harvesting,304
Inner_Mongolia,wheat,spring,sowing,120
Inner_Mongolia,wheat,spring,growing,212
Inner_Mongolia,wheat,spring,harvesting,243
Jiangsu,maize,spring,sowing,120
Jiangsu,maize,spring,growing,212
Jiangsu,maize,spring,harvesting,243
Jiangsu,maize,summer,sowing,151
Jiangsu,maize,summer,growing,243
Jiangsu,maize,summer,harvesting,304
Jiangsu,rice,single,sowing,120
Jiangsu,rice,single,growing,273
Jiangsu,rice,single,harvesting,304
Jiangsu,soybean,single,sowing,151
Jiangsu,soybean,single,growing,243
Jiangsu,soybean,single,harvesting,304
Jiangsu,wheat,winter,sowing,304
Jiangsu,wheat,winter,growing,151
Jiangsu,wheat,winter,harvesting,181
Jiangxi,maize,spring,sowing,120
Jiangxi,maize,spring,growing,212
Jiangxi,maize,spring,harvesting,243
Jiangxi,rice,single,sowing,120
Jiangxi,rice,single,growing,273
Jiangxi,rice,single,harvesting,304
Jiangxi,rice,early_double,sowing,120
Jiangxi,rice,early_double,growing,151
Jiangxi,rice,early_double,harvesting,181
Jiangxi,rice,late_double,sowing,181
Jiangxi,rice,late_double,growing,273
Jiangxi,rice,late_double,harvesting,334
Jiangxi,soybean,single,sowing,151
Jiangxi,soybean,single,growing,243
Jiangxi,soybean,single,harvesting,304
Jiangxi,wheat,winter,sowing,304
Jiangxi,wheat,winter,growing,151
Jiangxi,wheat,winter,harvesting,181
Jilin,maize,spring,sowing,120
Jilin,maize,spring,growing,212
Jilin,maize,spring,harvesting,243
Jilin,rice,single,sowing,120
Jilin,rice,single,growing,273
Jilin,rice,single,harvesting,304
Jilin,soybean,single,sowing,151
Jilin,soybean,single,growing,243
Jilin,soybean,single,harvesting,304
Jilin,wheat,spring,sowing,120
Jilin,wheat,spring,growing,212
Jilin,wheat,spring,harvesting,243
Liaoning,maize,spring,sowing,120
Liaoning,maize,spring,growing,212
Liaoning,maize,spring,harvesting,243
Liaoning,rice,single,sowing,120
Liaoning,rice,single,growing,273
Liaoning,rice,single,harvesting,304
Liaoning,soybean,single,sowing,151
Liaoning,soybean,single,growing,243
Liaoning,soybean,single,harvesting,304
Liaoning,wheat,spring,sowing,120
Liaoning,wheat,spring,growing,212
Liaoning,wheat,spring,harvesting,243
Ningxia,maize,spring,sowing,120
Ningxia,maize,spring,growing,212
Ningxia,maize,spring,harvesting,243
Ningxia,rice,single,sowing,120
Ningxia,rice,single,growing,273
Ningxia,rice,single,harvesting,304
Ningxia,soybean,single,sowing,151
Ningxia,soybean,single,growing,243
Ningxia,soybean,single,harvesting,304
Ningxia,wheat,winter,sowing,304
Ningxia,wheat,winter,growing,151
Ningxia,wheat,winter,harvesting,181
Qinghai,maize,spring,sowing,120
Qinghai,maize,spring,growing,212
Qinghai,maize,spring,harvesting,243
Qinghai,soybean,single,sowing,151
Qinghai,soybean,single,growing,243
Qinghai,soybean,single,harvesting,304
Qinghai,wheat,spring,sowing,120
Qinghai,wheat,spring,growing,212
Qinghai,wheat,spring,harvesting,243
Shaanxi,maize,spring,sowing,120
Shaanxi,maize,spring,growing,212
Shaanxi,maize,spring,harvesting,243
Shaanxi,maize,summer,sowing,151
Shaanxi,maize,summer,growing,243
Shaanxi,maize,summer,harvesting,304
Shaanxi,rice,single,sowing,120
Shaanxi,rice,single,growing,273
Shaanxi,rice,single,harvesting,304
Shaanxi,soybean,single,sowing,151
Shaanxi,soybean,single,growing,243
Shaanxi,soybean,single,harvesting,304
Shaanxi,wheat,winter,sowing,304
Shaanxi,wheat,winter,growing,151
Shaanxi,wheat,winter,harvesting,181
Shandong,maize,spring,sowing,120
Shandong,maize,spring,growing,212
Shandong,maize,spring,harvesting,243
Shandong,maize,summer,sowing,151
Shandong,maize,summer,growing,243
Shandong,maize,summer,harvesting,304
Shandong,rice,single,sowing,120
Shandong,rice,single,growing,273
Shandong,rice,single,harvesting,304
Shandong,soybean,single,sowing,151
Shandong,soybean,single,growing,243
Shandong,soybean,single,harvesting,304
Shandong,wheat,winter,sowing,304
Shandong,wheat,winter,growing,151
Shandong,wheat,winter,harvesting,181
Shanghai,maize,spring,sowing,120
Shanghai,maize,spring,growing,212
Shanghai,maize,spring,harvesting,243
Shanghai,rice,single,sowing,120
Shanghai,rice,single,growing,273
Shanghai,rice,single,harvesting,304
Shanghai,soybean,single,sowing,151
Shanghai,soybean,single,growing,243
Shanghai,soybean,single,harvesting,304
Shanghai,wheat,winter,sowing,304
Shanghai,wheat,winter,growing,151
Shanghai,wheat,winter,harvesting,181
Shanxi,maize,spring,sowing,120
Shanxi,maize,spring,growing,212
Shanxi,maize,spring,harvesting,243
Shanxi,maize,summer,sowing,151
Shanxi,maize,summer,growing,243
Shanxi,maize,summer,harvesting,304
Shanxi,rice,single,sowing,120
Shanxi,rice,single,growing,273
Shanxi,rice,single,harvesting,304
Shanxi,soybean,single,sowing,151
Shanxi,soybean,single,growing,243
Shanxi,soybean,single,harvesting,304
Shanxi,wheat,winter,sowing,304
Shanxi,wheat,winter,growing,151
Shanxi,wheat,winter,harvesting,181
Sichuan,maize,spring,sowing,120
Sichuan,maize,spring,growing,212
Sichuan,maize,spring,harvesting,243
Sichuan,rice,single,sowing,120
Sichuan,rice,single,growing,273
Sichuan,rice,single,harvesting,304
Sichuan,soybean,single,sowing,151
Sichuan,soybean,single,growing,243
Sichuan,soybean,single,harvesting,304
Sichuan,wheat,winter,sowing,304
Sichuan,wheat,winter,growing,151
Sichuan,wheat,winter,harvesting,181
Tianjin,maize,spring,sowing,120
Tianjin,maize,spring,growing,212
Tianjin,maize,spring,harvesting,243
Tianjin,maize,summer,sowing,151
Tianjin,maize,summer,growing,243
Tianjin,maize,summer,harvesting,304
Tianjin,rice,single,sowing,120
Tianjin,rice,single,growing,273
Tianjin,rice,single,harvesting,304
Tianjin,soybean,single,sowing,151
Tianjin,soybean,single,growing,243
Tianjin,soybean,single,harvesting,304
Tianjin,wheat,winter,sowing,304
Tianjin,wheat,winter,growing,151
Tianjin,wheat,winter,harvesting,181
Tibet,maize,spring,sowing,120
Tibet,maize,spring,growing,212
Tibet,maize,spring,harvesting,243
Tibet,rice,single,sowing,120
Tibet,rice,single,growing,273
Tibet,rice,single,harvesting,304
Tibet,soybean,single,sowing,151
Tibet,soybean,single,growing,243
Tibet,soybean,single,harvesting,304
Tibet,wheat,spring,sowing,120
Tibet,wheat,spring,growing,212
Tibet,wheat,spring,harvesting,243
Xinjiang,maize,spring,sowing,120
Xinjiang,maize,spring,growing,212
Xinjiang,maize,spring,harvesting,243
Xinjiang,rice,single,sowing,120
Xinjiang,rice,single,growing,273
Xinjiang,rice,single,harvesting,304
Xinjiang,soybean,single,sowing,151
Xinjiang,soybean,single,growing,243
Xinjiang,soybean,single,harvesting,304
Xinjiang,wheat,spring,sowing,120
Xinjiang,wheat,spring,growing,212
Xinjiang,wheat,spring,harvesting,243
Yunnan,maize,spring,sowing,120
Yunnan,maize,spring,growing,212
Yunnan,maize,spring,harvesting,243
Yunnan,rice,single,sowing,120
Yunnan,rice,single,growing,273
Yunnan,rice,single,harvesting,304
Yunnan,soybean,single,sowing,151
Yunnan,soybean,single,growing,243
Yunnan,soybean,single,harvesting,304
Yunnan,wheat,winter,sowing,304
Yunnan,wheat,winter,growing,151
Yunnan,wheat,winter,harvesting,181
Zhejiang,maize,spring,sowing,120
Zhejiang,maize,spring,growing,212
Zhejiang,maize,spring,harvesting,243
Zhejiang,rice,single,sowing,120
Zhejiang,rice,single,growing,273
Zhejiang,rice,single,harvesting,304
Zhejiang,soybean,single,sowing,151
Zhejiang,soybean,single,growing,243
Zhejiang,soybean,single,harvesting,304
Zhejiang,wheat,winter,sowing,304
Zhejiang,wheat,winter,growing,151
Zhejiang,wheat,winter,harvesting,181
