i,c,system,stage,planting_doy,maturity_doy,stage_start_doy,stage_end_doy
Shandong,soybean,single,sowing,121,304,121,151
Shandong,soybean,single,growing,121,304,152,243
Shandong,soybean,single,harvesting,121,304,244,304
Shandong,wheat,winter,sowing,244,181,244,304
Shandong,wheat,winter,growing,244,181,305,151
Shandong,wheat,winter,harvesting,244,181,152,181
Shanghai,maize,spring,sowing,60,243,60,120
Shanghai,maize,spring,growing,60,243,121,212
Shanghai,maize,spring,harvesting,60,243,213,243
Shanghai,rice,single,sowing,91,304,91,120
Shanghai,rice,single,growing,91,304,121,273
Shanghai,rice,single,harvesting,91,304,274,304
Shanghai,soybean,single,sowing,121,304,121,151
Shanghai,soybean,single,growing,121,304,152,243
Shanghai,soybean,single,harvesting,121,304,244,304
Shanghai,wheat,winter,sowing,244,181,244,304
Shanghai,wheat,winter,growing,244,181,305,151
Shanghai,wheat,winter,harvesting,244,181,152,181
Shanxi,maize,spring,sowing,60,243,60,120
Shanxi,maize,spring,growing,60,243,121,212
Shanxi,maize,spring,harvesting,60,243,213,243
Shanxi,maize,summer,sowing,121,304,121,151
Shanxi,maize,summer,growing,121,304,152,243
Shanxi,maize,summer,harvesting,121,304,244,304
Shanxi,rice,single,sowing,91,304,91,120
Shanxi,rice,single,growing,91,304,121,273
Shanxi,rice,single,harvesting,91,304,274,304
Shanxi,soybean,single,sowing,121,304,121,151
Shanxi,soybean,single,growing,121,304,152,243
Shanxi,soybean,single,harvesting,121,304,244,304
Shanxi,wheat,winter,sowing,244,181,244,304
Shanxi,wheat,winter,growing,244,181,305,151
Shanxi,wheat,winter,harvesting,244,181,152,181
Sichuan,maize,spring,sowing,60,243,60,120
Sichuan,maize,spring,growing,60,243,121,212
Sichuan,maize,spring,harvesting,60,243,213,243
Sichuan,rice,single,sowing,91,304,91,120
Sichuan,rice,single,growing,91,304,121,273
Sichuan,rice,single,harvesting,91,304,274,304
Sichuan,soybean,single,sowing,121,304,121,151
Sichuan,soybean,single,growing,121,304,152,243
Sichuan,soybean,single,harvesting,121,304,244,304
Sichuan,wheat,winter,sowing,244,181,244,304
Sichuan,wheat,winter,growing,244,181,305,151
Sichuan,wheat,winter,harvesting,244,181,152,181
Tianjin,maize,spring,sowing,60,243,60,120
Tianjin,maize,spring,growing,60,243,121,212
Tianjin,maize,spring,harvesting,60,243,213,243
Tianjin,maize,summer,sowing,121,304,121,151
Tianjin,maize,summer,growing,121,304,152,243
Tianjin,maize,summer,harvesting,121,304,244,304
Tianjin,rice,single,sowing,91,304,91,120
Tianjin,rice,single,growing,91,304,121,273
Tianjin,rice,single,harvesting,91,304,274,304
Tianjin,soybean,single,sowing,121,304,121,151
Tianjin,soybean,single,growing,121,304,152,243
Tianjin,soybean,single,harvesting,121,304,244,304
Tianjin,wheat,winter,sowing,244,181,244,304
Tianjin,wheat,winter,growing,244,181,305,151
Tianjin,wheat,winter,harvesting,244,181,152,181
Tibet,maize,spring,sowing,60,243,60,120
Tibet,maize,spring,growing,60,243,121,212
Tibet,maize,spring,harvesting,60,243,213,243
Tibet,rice,single,sowing,91,304,91,120
Tibet,rice,single,growing,91,304,121,273
Tibet,rice,single,harvesting,91,304,274,304
Tibet,soybean,single,sowing,121,304,121,151
Tibet,soybean,single,growing,121,304,152,243
Tibet,soybean,single,harvesting,121,304,244,304
Tibet,wheat,spring,sowing,91,243,91,120
Tibet,wheat,spring,growing,91,243,121,212
Tibet,wheat,spring,harvesting,91,243,213,243
Xinjiang,maize,spring,sowing,60,243,60,120
Xinjiang,maize,spring,growing,60,243,121,212
Xinjiang,maize,spring,harvesting,60,243,213,243
Xinjiang,rice,single,sowing,91,304,91,120
Xinjiang,rice,single,growing,91,304,121,273
Xinjiang,rice,single,harvesting,91,304,274,304
Xinjiang,soybean,single,sowing,121,304,121,151
Xinjiang,soybean,single,growing,121,304,152,243
Xinjiang,soybean,single,harvesting,121,304,244,304
Xinjiang,wheat,spring,sowing,91,243,91,120
Xinjiang,wheat,spring,growing,91,243,121,212
Xinjiang,wheat,spring,harvesting,91,243,213,243
Yunnan,maize,spring,sowing,60,243,60,120
Yunnan,maize,spring,growing,60,243,121,212
Yunnan,maize,spring,harvesting,60,243,213,243
Yunnan,rice,single,sowing,91,304,91,120
Yunnan,rice,single,growing,91,304,121,273
Yunnan,rice,single,harvesting,91,304,274,304
Yunnan,soybean,single,sowing,121,304,121,151
Yunnan,soybean,single,growing,121,304,152,243
Yunnan,soybean,single,harvesting,121,304,244,304
Yunnan,wheat,winter,sowing,244,181,244,304
Yunnan,wheat,winter,growing,244,181,305,151
Yunnan,wheat,winter,harvesting,244,181,152,181
Zhejiang,maize,spring,sowing,60,243,60,120
Zhejiang,maize,spring,growing,60,243,121,212
Zhejiang,maize,spring,harvesting,60,243,213,243
Zhejiang,rice,single,sowing,91,304,91,120
Zhejiang,rice,single,growing,91,304,121,273
Zhejiang,rice,single,harvesting,91,304,274,304
Zhejiang,soybean,single,sowing,121,304,121,151
Zhejiang,soybean,single,growing,121,304,152,243
Zhejiang,soybean,single,harvesting,121,304,244,304
Zhejiang,wheat,winter,sowing,244,181,244,304
Zhejiang,wheat,winter,growing,244,181,305,151
Zhejiang,wheat,winter,harvesting,244,181,152,181
