i,c,system,stage,value
Guangxi,maize,spring,sowing,60
Guangxi,maize,spring,growing,121
Guangxi,maize,spring,harvesting,213
Guangxi,rice,single,sowing,91
Guangxi,rice,single,growing,121
Guangxi,rice,single,harvesting,274
Guangxi,rice,early_double,sowing,60
Guangxi,rice,early_double,growing,121
Guangxi,rice,early_double,harvesting,152
Guangxi,rice,late_double,sowing,152
Guangxi,rice,late_double,growing,182
Guangxi,rice,late_double,harvesting,274
Guangxi,soybean,single,sowing,121
Guangxi,soybean,single,growing,152
Guangxi,soybean,single,harvesting,244
Guizhou,maize,spring,sowing,60
Guizhou,maize,spring,growing,121
Guizhou,maize,spring,harvesting,213
Guizhou,rice,single,sowing,91
Guizhou,rice,single,growing,121
Guizhou,rice,single,harvesting,274
Guizhou,soybean,single,sowing,121
Guizhou,soybean,single,growing,152
Guizhou,soybean,single,harvesting,244
Guizhou,wheat,winter,sowing,244
Guizhou,wheat,winter,growing,305
Guizhou,wheat,winter,harvesting,152
Hainan,maize,spring,sowing,60
Hainan,maize,spring,growing,121
Hainan,maize,spring,harvesting,213
Hainan,rice,single,sowing,91
Hainan,rice,single,growing,121
Hainan,rice,single,harvesting,274
Hainan,rice,early_double,sowing,60
Hainan,rice,early_double,growing,121
Hainan,rice,early_double,harvesting,152
Hainan,rice,late_double,sowing,152
Hainan,rice,late_double,growing,182
Hainan,rice,late_double,harvesting,274
Hainan,soybean,single,sowing,121
Hainan,soybean,single,growing,152
Hainan,soybean,single,harvesting,244
Hebei,maize,spring,sowing,60
Hebei,maize,spring,growing,121
Hebei,maize,spring,harvesting,213
Hebei,maize,summer,sowing,121
Hebei,maize,summer,growing,152
Hebei,maize,summer,harvesting,244
Hebei,rice,single,sowing,91
Hebei,rice,single,growing,121
Hebei,rice,single,harvesting,274
Hebei,soybean,single,sowing,121
Hebei,soybean,single,growing,152
Hebei,soybean,single,harvesting,244
Hebei,wheat,winter,sowing,244
Hebei,wheat,winter,growing,305
Hebei,wheat,winter,harvesting,152
Heilongjiang,maize,spring,sowing,60
Heilongjiang,maize,spring,growing,121
Heilongjiang,maize,spring,harvesting,213
Heilongjiang,rice,single,sowing,91
Heilongjiang,rice,single,growing,121
Heilongjiang,rice,single,harvesting,274
Heilongjiang,soybean,single,sowing,121
Heilongjiang,soybean,single,growing,152
Heilongjiang,soybean,single,harvesting,244
Heilongjiang,wheat,spring,sowing,91
Heilongjiang,wheat,spring,growing,121
Heilongjiang,wheat,spring,harvesting,213
Henan,maize,spring,sowing,60
Henan,maize,spring,growing,121
Henan,maize,spring,harvesting,213
Henan,maize,summer,sowing,121
Henan,maize,summer,growing,152
Henan,maize,summer,harvesting,244
Henan,rice,single,sowing,91
Henan,rice,single,growing,121
Henan,rice,single,harvesting,274
Henan,soybean,single,sowing,121
Henan,soybean,single,growing,152
Henan,soybean,single,harvesting,244
Henan,wheat,winter,sowing,244
Henan,wheat,winter,growing,305
Henan,wheat,winter,harvesting,152
Hubei,maize,spring,sowing,60
Hubei,maize,spring,growing,121
Hubei,maize,spring,harvesting,213
Hubei,maize,summer,sowing,121
Hubei,maize,summer,growing,152
Hubei,maize,summer,harvesting,244
Hubei,rice,single,sowing,91
Hubei,rice,single,growing,121
Hubei,rice,single,harvesting,274
Hubei,soybean,single,sowing,121
Hubei,soybean,single,growing,152
Hubei,soybean,single,harvesting,244
Hubei,wheat,winter,sowing,244
Hubei,wheat,winter,growing,305
Hubei,wheat,winter,harvesting,152
Hunan,maize,spring,sowing,60
Hunan,maize,spring,growing,121
Hunan,maize,spring,harvesting,213
Hunan,rice,single,sowing,91
Hunan,rice,single,growing,121
Hunan,rice,single,harvesting,274
Hunan,rice,early_double,sowing,60
Hunan,rice,early_double,growing,121
Hunan,rice,early_double,harvesting,152
Hunan,rice,late_double,sowing,152
Hunan,rice,late_double,growing,182
Hunan,rice,late_double,harvesting,274
Hunan,soybean,single,sowing,121
Hunan,soybean,single,growing,152
Hunan,soybean,single,harvesting,244
Hunan,wheat,winter,sowing,244
Hunan,wheat,winter,growing,305
Hunan,wheat,winter,harvesting,152
Inner_Mongolia,maize,spring,sowing,60
Inner_Mongolia,maize,spring,growing,121
Inner_Mongolia,maize,spring,harvesting,213
Inner_Mongolia,rice,single,sowing,91
Inner_Mongolia,rice,single,growing,121
Inner_Mongolia,rice,single,harvesting,274
Inner_Mongolia,soybean,single,sowing,121
Inner_Mongolia,soybean,single,growing,152
Inner_Mongolia,soybean,single,harvesting,244
Inner_Mongolia,wheat,spring,sowing,91
Inner_Mongolia,wheat,spring,growing,121
Inner_Mongolia,wheat,spring,harvesting,213
Jiangsu,maize,spring,sowing,60
Jiangsu,maize,spring,growing,121
Jiangsu,maize,spring,harvesting,213
Jiangsu,maize,summer,sowing,121
Jiangsu,maize,summer,growing,152
Jiangsu,maize,summer,harvesting,244
Jiangsu,rice,single,sowing,91
Jiangsu,rice,single,growing,121
Jiangsu,rice,single,harvesting,274
Jiangsu,soybean,single,sowing,121
Jiangsu,soybean,single,growing,152
Jiangsu,soybean,single,harvesting,244
Jiangsu,wheat,winter,sowing,244
Jiangsu,wheat,winter,growing,305
Jiangsu,wheat,winter,harvesting,152
Jiangxi,maize,spring,sowing,60
Jiangxi,maize,spring,growing,121
Jiangxi,maize,spring,harvesting,213
Jiangxi,rice,single,sowing,91
Jiangxi,rice,single,growing,121
Jiangxi,rice,single,harvesting,274
Jiangxi,rice,early_double,sowing,60
Jiangxi,rice,early_double,growing,121
Jiangxi,rice,early_double,harvesting,152
Jiangxi,rice,late_double,sowing,152
Jiangxi,rice,late_double,growing,182
Jiangxi,rice,late_double,harvesting,274
Jiangxi,soybean,single,sowing,121
Jiangxi,soybean,single,growing,152
Jiangxi,soybean,single,harvesting,244
Jiangxi,wheat,winter,sowing,244
Jiangxi,wheat,winter,growing,305
Jiangxi,wheat,winter,harvesting,152
Jilin,maize,spring,sowing,60
Jilin,maize,spring,growing,121
Jilin,maize,spring,harvesting,213
Jilin,rice,single,sowing,91
Jilin,rice,single,growing,121
Jilin,rice,single,harvesting,274
Jilin,soybean,single,sowing,121
Jilin,soybean,single,growing,152
Jilin,soybean,single,harvesting,244
Jilin,wheat,spring,sowing,91
Jilin,wheat,spring,growing,121
Jilin,wheat,spring,harvesting,213
Liaoning,maize,spring,sowing,60
Liaoning,maize,spring,growing,121
Liaoning,maize,spring,harvesting,213
Liaoning,rice,single,sowing,91
Liaoning,rice,single,growing,121
Liaoning,rice,single,harvesting,274
Liaoning,soybean,single,sowing,121
Liaoning,soybean,single,growing,152
Liaoning,soybean,single,harvesting,244
Liaoning,wheat,spring,sowing,91
Liaoning,wheat,spring,growing,121
Liaoning,wheat,spring,harvesting,213
Ningxia,maize,spring,sowing,60
Ningxia,maize,spring,growing,121
Ningxia,maize,spring,harvesting,213
Ningxia,rice,single,sowing,91
Ningxia,rice,single,growing,121
Ningxia,rice,single,harvesting,274
Ningxia,soybean,single,sowing,121
Ningxia,soybean,single,growing,152
Ningxia,soybean,single,harvesting,244
Ningxia,wheat,winter,sowing,244
Ningxia,wheat,winter,growing,305
Ningxia,wheat,winter,harvesting,152
Qinghai,maize,spring,sowing,60
Qinghai,maize,spring,growing,121
Qinghai,maize,spring,harvesting,213
Qinghai,soybean,single,sowing,121
Qinghai,soybean,single,growing,152
Qinghai,soybean,single,harvesting,244
Qinghai,wheat,spring,sowing,91
Qinghai,wheat,spring,growing,121
Qinghai,wheat,spring,harvesting,213
Shaanxi,maize,spring,sowing,60
Shaanxi,maize,spring,growing,121
Shaanxi,maize,spring,harvesting,213
Shaanxi,maize,summer,sowing,121
Shaanxi,maize,summer,growing,152
Shaanxi,maize,summer,harvesting,244
Shaanxi,rice,single,sowing,91
Shaanxi,rice,single,growing,121
Shaanxi,rice,single,harvesting,274
Shaanxi,soybean,single,sowing,121
Shaanxi,soybean,single,growing,152
Shaanxi,soybean,single,harvesting,244
Shaanxi,wheat,winter,sowing,244
Shaanxi,wheat,winter,growing,305
Shaanxi,wheat,winter,harvesting,152
Shandong,maize,spring,sowing,60
Shandong,maize,spring,growing,121
Shandong,maize,spring,harvesting,213
Shandong,maize,summer,sowing,121
Shandong,maize,summer,growing,152
Shandong,maize,summer,harvesting,244
Shandong,rice,single,sowing,91
Shandong,rice,single,growing,121
Shandong,rice,single,harvesting,274
Shandong,soybean,single,sowing,121
Shandong,soybean,single,growing,152
Shandong,soybean,single,harvesting,244
Shandong,wheat,winter,sowing,244
Shandong,wheat,winter,growing,305
Shandong,wheat,winter,harvesting,152
Shanghai,maize,spring,sowing,60
Shanghai,maize,spring,growing,121
Shanghai,maize,spring,harvesting,213
Shanghai,rice,single,sowing,91
Shanghai,rice,single,growing,121
Shanghai,rice,single,harvesting,274
Shanghai,soybean,single,sowing,121
Shanghai,soybean,single,growing,152
Shanghai,soybean,single,harvesting,244
Shanghai,wheat,winter,sowing,244
Shanghai,wheat,winter,growing,305
Shanghai,wheat,winter,harvesting,152
Shanxi,maize,spring,sowing,60
Shanxi,maize,spring,growing,121
Shanxi,maize,spring,harvesting,213
Shanxi,maize,summer,sowing,121
Shanxi,maize,summer,growing,152
Shanxi,maize,summer,harvesting,244
Shanxi,rice,single,sowing,91
Shanxi,rice,single,growing,121
Shanxi,rice,single,harvesting,274
Shanxi,soybean,single,sowing,121
Shanxi,soybean,single,growing,152
Shanxi,soybean,single,harvesting,244
Shanxi,wheat,winter,sowing,244
Shanxi,wheat,winter,growing,305
Shanxi,wheat,winter,harvesting,152
Sichuan,maize,spring,sowing,60
Sichuan,maize,spring,growing,121
Sichuan,maize,spring,harvesting,213
Sichuan,rice,single,sowing,91
Sichuan,rice,single,growing,121
Sichuan,rice,single,harvesting,274
Sichuan,soybean,single,sowing,121
Sichuan,soybean,single,growing,152
Sichuan,soybean,single,harvesting,244
Sichuan,wheat,winter,sowing,244
Sichuan,wheat,winter,growing,305
Sichuan,wheat,winter,harvesting,152
Tianjin,maize,spring,sowing,60
Tianjin,maize,spring,growing,121
Tianjin,maize,spring,harvesting,213
Tianjin,maize,summer,sowing,121
Tianjin,maize,summer,growing,152
Tianjin,maize,summer,harvesting,244
Tianjin,rice,single,sowing,91
Tianjin,rice,single,growing,121
Tianjin,rice,single,harvesting,274
Tianjin,soybean,single,sowing,121
Tianjin,soybean,single,growing,152
Tianjin,soybean,single,harvesting,244
Tianjin,wheat,winter,sowing,244
Tianjin,wheat,winter,growing,305
Tianjin,wheat,winter,harvesting,152
Tibet,maize,spring,sowing,60
Tibet,maize,spring,growing,121
Tibet,maize,spring,harvesting,213
Tibet,rice,single,sowing,91
Tibet,rice,single,growing,121
Tibet,rice,single,harvesting,274
Tibet,soybean,single,sowing,121
Tibet,soybean,single,growing,152
Tibet,soybean,single,harvesting,244
Tibet,wheat,spring,sowing,91
Tibet,wheat,spring,growing,121
Tibet,wheat,spring,harvesting,213
Xinjiang,maize,spring,sowing,60
Xinjiang,maize,spring,growing,121
Xinjiang,maize,spring,harvesting,213
Xinjiang,rice,single,sowing,91
Xinjiang,rice,single,growing,121
Xinjiang,rice,single,harvesting,274
Xinjiang,soybean,single,sowing,121
Xinjiang,soybean,single,growing,152
Xinjiang,soybean,single,harvesting,244
Xinjiang,wheat,spring,sowing,91
Xinjiang,wheat,spring,growing,121
Xinjiang,wheat,spring,harvesting,213
Yunnan,maize,spring,sowing,60
Yunnan,maize,spring,growing,121
Yunnan,maize,spring,harvesting,213
Yunnan,rice,single,sowing,91
Yunnan,rice,single,growing,121
Yunnan,rice,single,harvesting,274
Yunnan,soybean,single,sowing,121
Yunnan,soybean,single,growing,152
Yunnan,soybean,single,harvesting,244
Yunnan,wheat,winter,sowing,244
Yunnan,wheat,winter,growing,305
Yunnan,wheat,winter,harvesting,152
Zhejiang,maize,spring,sowing,60
Zhejiang,maize,spring,growing,121
Zhejiang,maize,spring,harvesting,213
Zhejiang,rice,single,sowing,91
Zhejiang,rice,single,growing,121
Zhejiang,rice,single,harvesting,274
Zhejiang,soybean,single,sowing,121
Zhejiang,soybean,single,growing,152
Zhejiang,soybean,single,harvesting,244
Zhejiang,wheat,winter,sowing,244
Zhejiang,wheat,winter,growing,305
Zhejiang,wheat,winter,harvesting,152
